service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2020/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2267555,2267555,19,2415976,2415976,29,504
2020/02/01 05:00:00+00,Ferry,Ferry,100833,100833,19,140662,140662,29,505
2020/02/01 05:00:00+00,Rail,Green Line,3260192,3260192,19,4111130,4111130,29,506
2020/02/01 05:00:00+00,Rail,Orange Line,3954096,3954096,19,4558025,4558025,29,507
2020/02/01 05:00:00+00,Rail,Red Line,4848407,4848407,19,5777034,5777034,29,508
2020/02/01 05:00:00+00,Bus,Silver Line,709788,709788,19,901915,901915,29,509
2020/02/01 05:00:00+00,The RIDE,The RIDE,109801,109801,19,98059,98059,29,510
2020/03/01 05:00:00+00,Rail,Blue Line,823532,823532,22,990544,990544,31,511
2020/03/01 05:00:00+00,Bus,Bus,4649584,4649584,22,5504038,5504038,31,512
2020/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1003246,1003246,22,1047559,1047559,31,513
2020/03/01 05:00:00+00,Ferry,Ferry,66440,66440,22,86936,86936,31,514
2020/03/01 05:00:00+00,Rail,Green Line,1715174,1715174,22,2035024,2035024,31,515
2020/03/01 05:00:00+00,Rail,Orange Line,2249698,2249698,22,2614438,2614438,31,516
2020/03/01 05:00:00+00,Rail,Red Line,2676225,2676225,22,3081763,3081763,31,517
2020/03/01 05:00:00+00,Bus,Silver Line,479125,479125,22,592061,592061,31,518
2020/03/01 05:00:00+00,The RIDE,The RIDE,65225,65225,22,67365,67365,31,519
2020/04/01 04:00:00+00,Rail,Blue Line,167665,167665,22,204396,204396,30,520
2020/04/01 04:00:00+00,Bus,Bus,1695919,1695919,22,2115394,2115394,30,521
2020/04/01 04:00:00+00,Commuter Rail,Commuter Rail,52726,52726,22,55013,55013,30,522
2020/04/01 04:00:00+00,Ferry,Ferry,,,22,0,0,30,523
2020/04/01 04:00:00+00,Rail,Green Line,190670,190670,22,232847,232847,30,524
2020/04/01 04:00:00+00,Rail,Orange Line,383582,383582,22,463825,463825,30,525
2020/04/01 04:00:00+00,Rail,Red Line,434375,434375,22,529103,529103,30,526
2020/04/01 04:00:00+00,Bus,Silver Line,172252,172252,22,224480,224480,30,527
2020/04/01 04:00:00+00,The RIDE,The RIDE,20397,20397,22,26954,26954,30,528
2020/05/01 04:00:00+00,Rail,Blue Line,119521,119521,20,161186,161186,31,529
2020/05/01 04:00:00+00,Bus,Bus,1889808,1889808,20,2597139,2597139,31,530
2020/05/01 04:00:00+00,Commuter Rail,Commuter Rail,54478,54478,20,62083,62083,31,531
2020/05/01 04:00:00+00,Ferry,Ferry,,,20,0,0,31,532
2020/05/01 04:00:00+00,Rail,Green Line,215007,215007,20,292649,292649,31,533
2020/05/01 04:00:00+00,Rail,Orange Line,408107,408107,20,548013,548013,31,534
2020/05/01 04:00:00+00,Rail,Red Line,472272,472272,20,635404,635404,31,535
2020/05/01 04:00:00+00,Bus,Silver Line,186356,186356,20,268072,268072,31,536
2020/05/01 04:00:00+00,The RIDE,The RIDE,25153,25153,20,35627,35627,31,537
2020/06/01 04:00:00+00,Rail,Blue Line,336590,336590,22,420098,420098,30,538
2020/06/01 04:00:00+00,Bus,Bus,2658286,2658286,22,3333640,3333640,30,539
2020/06/01 04:00:00+00,Commuter Rail,Commuter Rail,110959,110959,22,119415,119415,30,540
2020/06/01 04:00:00+00,Ferry,Ferry,,,22,2699,2699,30,541
2020/06/01 04:00:00+00,Rail,Green Line,355293,355293,22,442697,442697,30,542
2020/06/01 04:00:00+00,Rail,Orange Line,717112,717112,22,878747,878747,30,543
2020/06/01 04:00:00+00,Rail,Red Line,765860,765860,22,940803,940803,30,544
2020/06/01 04:00:00+00,Bus,Silver Line,251742,251742,22,322397,322397,30,545
2020/06/01 04:00:00+00,The RIDE,The RIDE,38247,38247,22,52195,52195,30,546
2020/07/01 04:00:00+00,Rail,Blue Line,485562,485562,23,601730,601730,31,547
2020/07/01 04:00:00+00,Bus,Bus,3063922,3063922,23,3913145,3913145,31,548
2020/07/01 04:00:00+00,Commuter Rail,Commuter Rail,249088,249088,23,273907,273907,31,549
2020/07/01 04:00:00+00,Ferry,Ferry,15042,15042,23,15042,15042,31,550
2019/08/01 04:00:00+00,Ferry,Ferry,123200,123200,22,151493,151493,31,551
2019/08/01 04:00:00+00,Rail,Green Line,3794895,3794895,22,4643466,4643466,31,552
2019/08/01 04:00:00+00,Rail,Orange Line,4423578,4423578,22,5220991,5220991,31,553
2019/08/01 04:00:00+00,Rail,Red Line,5451750,5451750,22,6463959,6463959,31,554
2019/08/01 04:00:00+00,Bus,Silver Line,823813,823813,22,1014331,1014331,31,555
2019/08/01 04:00:00+00,The RIDE,The RIDE,125884,125884,22,202987,202987,31,556
2019/09/01 04:00:00+00,Rail,Blue Line,1521166,1521166,20,1919750,1919750,30,557
2019/09/01 04:00:00+00,Bus,Bus,7479428,7479428,20,8969616,8969616,30,558
2019/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2386500,2386500,20,2553903,2553903,30,559
2019/09/01 04:00:00+00,Ferry,Ferry,135280,135280,20,148822,148822,30,560
